"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude","country_code_2","Flag"
"Netherlands",2016,"Belgium",4,"Jury","Low","BEL",50.5039,4.4699,"be","https://public.flourish.studio/country-flags/svg/be.svg"
"Netherlands",2016,"Serbia",5,"Jury","Low","SRB",44.0165,20.907,"rs","https://public.flourish.studio/country-flags/svg/rs.svg"
"Netherlands",2016,"Macedonia",2,"Jury","Low","MKD",41.6086,21.7453,"mk","https://public.flourish.studio/country-flags/svg/mk.svg"
"Netherlands",2016,"Estonia",6,"Jury","Low","EST",58.5953,25.0136,"ee","https://public.flourish.studio/country-flags/svg/ee.svg"
"Netherlands",2016,"Italy",4,"Jury","Low","ITA",41.8719,12.5674,"it","https://public.flourish.studio/country-flags/svg/it.svg"
"Netherlands",2016,"Slovenia",1,"Jury","Low","SVN",46.1512,14.9955,"si","https://public.flourish.studio/country-flags/svg/si.svg"
"Netherlands",2016,"Hungary",6,"Jury","Low","HUN",47.1625,19.5033,"hu","https://public.flourish.studio/country-flags/svg/hu.svg"
"Netherlands",2016,"Sweden",5,"Jury","Low","SWE",60.1282,18.6435,"se","https://public.flourish.studio/country-flags/svg/se.svg"
"Azerbaijan",2016,"Bosnia and Herzegovina",1,"Jury","Low","BIH",43.9159,17.6791,"ba","https://public.flourish.studio/country-flags/svg/ba.svg"
"Azerbaijan",2016,"Spain",2,"Jury","Low","ESP",40.4637,-3.7492,"es","https://public.flourish.studio/country-flags/svg/es.svg"
"Azerbaijan",2016,"Cyprus",2,"Jury","Low","CYP",35.1264,33.4299,"cy","https://public.flourish.studio/country-flags/svg/cy.svg"
"Azerbaijan",2016,"Netherlands",1,"Jury","Low","NLD",52.1326,5.2913,"nl","https://public.flourish.studio/country-flags/svg/nl.svg"
"Azerbaijan",2016,"Belarus",2,"Jury","Low","BLR",53.9006,27.5766,"by","https://public.flourish.studio/country-flags/svg/by.svg"
"Azerbaijan",2016,"Russia",10,"Jury","High","RUS",61.524,105.3188,"ru","https://public.flourish.studio/country-flags/svg/ru.svg"
"Azerbaijan",2016,"Greece",1,"Jury","Low","GRC",39.0742,21.8243,"gr","https://public.flourish.studio/country-flags/svg/gr.svg"
"Azerbaijan",2016,"Macedonia",1,"Jury","Low","MKD",41.6086,21.7453,"mk","https://public.flourish.studio/country-flags/svg/mk.svg"
"Azerbaijan",2016,"Ukraine",7,"Jury","Low","UKR",48.3794,31.1656,"ua","https://public.flourish.studio/country-flags/svg/ua.svg"
"Azerbaijan",2016,"Hungary",7,"Jury","Low","HUN",47.1625,19.5033,"hu","https://public.flourish.studio/country-flags/svg/hu.svg"
"Azerbaijan",2016,"Sweden",10,"Jury","High","SWE",60.1282,18.6435,"se","https://public.flourish.studio/country-flags/svg/se.svg"
"Hungary",2016,"Azerbaijan",4,"Jury","Low","AZE",40.1431,47.5769,"az","https://public.flourish.studio/country-flags/svg/az.svg"
"Hungary",2016,"San Marino",2,"Jury","Low","SMR",43.9334,12.4578,"sm","https://public.flourish.studio/country-flags/svg/sm.svg"
