"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"Italy",2016,"Spain",5,"Jury","Low","ESP",40.4637,-3.7492
"Italy",2016,"Finland",2,"Jury","Low","FIN",61.9241,25.7482
"Italy",2016,"Switzerland",2,"Jury","Low","CHE",46.8182,8.2275
"Italy",2016,"France",12,"Jury","High","FRA",46.6034,2.2137
"Italy",2016,"Cyprus",3,"Jury","Low","CYP",35.1264,33.4299
"Italy",2016,"Netherlands",6,"Jury","Low","NLD",52.1326,5.2913
"Italy",2016,"Germany",3,"Jury","Low","DEU",51.1657,10.4515
"Italy",2016,"Norway",12,"Jury","High","NOR",60.472,8.4689
"Italy",2016,"Belgium",10,"Jury","High","BEL",50.5039,4.4699
"Italy",2016,"Croatia",3,"Jury","Low","HRV",45.1,15.2
"Italy",2016,"Albania",8,"Jury","High","ALB",41.1533,20.1683
"Israel",2016,"Azerbaijan",3,"Jury","Low","AZE",40.1431,47.5769
"Israel",2016,"Ireland",4,"Jury","Low","IRL",53.4129,-8.2439
"Israel",2016,"Georgia",3,"Jury","Low","GEO",42.3154,43.3569
"Israel",2016,"Malta",1,"Jury","Low","MLT",35.9375,14.3754
"Israel",2016,"Spain",1,"Jury","Low","ESP",40.4637,-3.7492
"Israel",2016,"Finland",7,"Jury","Low","FIN",61.9241,25.7482
"Israel",2016,"Switzerland",8,"Jury","High","CHE",46.8182,8.2275
"Israel",2016,"Denmark",2,"Jury","Low","DNK",56.2639,9.5018
"Israel",2016,"Cyprus",5,"Jury","Low","CYP",35.1264,33.4299
"Israel",2016,"Netherlands",7,"Jury","Low","NLD",52.1326,5.2913
"Israel",2016,"Latvia",2,"Jury","Low","LVA",56.8796,24.6032
"Israel",2016,"Germany",12,"Jury","High","DEU",51.1657,10.4515
"Israel",2016,"Norway",3,"Jury","Low","NOR",60.472,8.4689
"Israel",2016,"Australia",10,"Jury","High","AUS",-25.2744,133.7751
"Israel",2016,"Belgium",2,"Jury","Low","BEL",50.5039,4.4699
"Israel",2016,"United Kingdom",3,"Jury","Low","GBR",55.3781,-3.436
"Israel",2016,"Croatia",7,"Jury","Low","HRV",45.1,15.2
"Israel",2016,"Lithuania",6,"Jury","Low","LTU",55.1694,23.8813
"Israel",2016,"Serbia",7,"Jury","Low","SRB",44.0165,20.907
"Israel",2016,"Macedonia",5,"Jury","Low","MKD",41.6086,21.7453
"Israel",2016,"Albania",3,"Jury","Low","ALB",41.1533,20.1683
"Israel",2016,"Ukraine",6,"Jury","Low","UKR",48.3794,31.1656
"Israel",2016,"Italy",8,"Jury","High","ITA",41.8719,12.5674
"Israel",2016,"Poland",7,"Jury","Low","POL",51.9194,19.1451
"Israel",2016,"Slovenia",2,"Jury","Low","SVN",46.1512,14.9955
"Bulgaria",2016,"Azerbaijan",8,"Jury","High","AZE",40.1431,47.5769
"Bulgaria",2016,"Ireland",10,"Jury","High","IRL",53.4129,-8.2439
"Bulgaria",2016,"Bosnia and Herzegovina",3,"Jury","Low","BIH",43.9159,17.6791
"Bulgaria",2016,"Malta",10,"Jury","High","MLT",35.9375,14.3754
"Bulgaria",2016,"Switzerland",1,"Jury","Low","CHE",46.8182,8.2275
"Bulgaria",2016,"Denmark",6,"Jury","Low","DNK",56.2639,9.5018
"Bulgaria",2016,"France",10,"Jury","High","FRA",46.6034,2.2137
"Bulgaria",2016,"Armenia",7,"Jury","Low","ARM",40.0691,45.0382
"Bulgaria",2016,"Latvia",1,"Jury","Low","LVA",56.8796,24.6032
"Bulgaria",2016,"Israel",7,"Jury","Low","ISR",31.0461,34.8516
"Bulgaria",2016,"Belarus",1,"Jury","Low","BLR",53.9006,27.5766
"Bulgaria",2016,"Norway",8,"Jury","High","NOR",60.472,8.4689
"Bulgaria",2016,"Australia",8,"Jury","High","AUS",-25.2744,133.7751
"Bulgaria",2016,"Belgium",6,"Jury","Low","BEL",50.5039,4.4699
"Bulgaria",2016,"United Kingdom",5,"Jury","Low","GBR",55.3781,-3.436
"Bulgaria",2016,"Lithuania",2,"Jury","Low","LTU",55.1694,23.8813
"Bulgaria",2016,"Serbia",4,"Jury","Low","SRB",44.0165,20.907
"Bulgaria",2016,"Macedonia",10,"Jury","High","MKD",41.6086,21.7453
"Bulgaria",2016,"Albania",4,"Jury","Low","ALB",41.1533,20.1683
"Bulgaria",2016,"Ukraine",1,"Jury","Low","UKR",48.3794,31.1656
