"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"United Kingdom",2017,"Czech Republic",5,"Jury","Low","CZE",49.8175,15.473
"Cyprus",2017,"Sweden",2,"Jury","Low","SWE",60.1282,18.6435
"Cyprus",2017,"Finland",5,"Jury","Low","FIN",61.9241,25.7482
"Cyprus",2017,"Greece",12,"Jury","High","GRC",39.0742,21.8243
"Cyprus",2017,"Armenia",7,"Jury","Low","ARM",40.0691,45.0382
"Cyprus",2017,"Portugal",1,"Jury","Low","PRT",39.3999,-8.2245
"Cyprus",2017,"Georgia",4,"Jury","Low","GEO",42.3154,43.3569
"Cyprus",2017,"Belgium",5,"Jury","Low","BEL",50.5039,4.4699
"Romania",2017,"Azerbaijan",3,"Jury","Low","AZE",40.1431,47.5769
"Romania",2017,"Latvia",3,"Jury","Low","LVA",56.8796,24.6032
"Romania",2017,"Montenegro",10,"Jury","High","MNE",42.7087,19.3744
"Romania",2017,"Albania",3,"Jury","Low","ALB",41.1533,20.1683
"Romania",2017,"Malta",5,"Jury","Low","MLT",35.9375,14.3754
"Romania",2017,"Macedonia",4,"Jury","Low","MKD",41.6086,21.7453
"Romania",2017,"Greece",6,"Jury","Low","GRC",39.0742,21.8243
"Romania",2017,"Moldova",12,"Jury","High","MDA",47.4116,28.3699
"Romania",2017,"Bulgaria",3,"Jury","Low","BGR",42.7339,25.4858
"Romania",2017,"Netherlands",1,"Jury","Low","NLD",52.1326,5.2913
"Romania",2017,"Ireland",8,"Jury","High","IRL",53.4129,-8.2439
"Germany",2017,"Ireland",3,"Jury","Low","IRL",53.4129,-8.2439
"Ukraine",2017,"Azerbaijan",7,"Jury","Low","AZE",40.1431,47.5769
"Ukraine",2017,"Israel",4,"Jury","Low","ISR",31.0461,34.8516
"Ukraine",2017,"Bulgaria",1,"Jury","Low","BGR",42.7339,25.4858
"Belgium",2017,"Sweden",1,"Jury","Low","SWE",60.1282,18.6435
"Belgium",2017,"San Marino",8,"Jury","High","SMR",43.9334,12.4578
"Belgium",2017,"Latvia",10,"Jury","High","LVA",56.8796,24.6032
"Belgium",2017,"Israel",8,"Jury","High","ISR",31.0461,34.8516
"Belgium",2017,"Montenegro",6,"Jury","Low","MNE",42.7087,19.3744
"Belgium",2017,"Denmark",2,"Jury","Low","DNK",56.2639,9.5018
"Belgium",2017,"Austria",2,"Jury","Low","AUT",47.5162,14.5501
"Belgium",2017,"Spain",4,"Jury","Low","ESP",40.4637,-3.7492
"Belgium",2017,"Lithuania",4,"Jury","Low","LTU",55.1694,23.8813
"Belgium",2017,"Estonia",2,"Jury","Low","EST",58.5953,25.0136
"Belgium",2017,"Iceland",2,"Jury","Low","ISL",64.9631,-19.0208
"Belgium",2017,"Italy",7,"Jury","Low","ITA",41.8719,12.5674
"Belgium",2017,"Portugal",8,"Jury","High","PRT",39.3999,-8.2245
"Belgium",2017,"Switzerland",6,"Jury","Low","CHE",46.8182,8.2275
"Belgium",2017,"Netherlands",2,"Jury","Low","NLD",52.1326,5.2913
"Belgium",2017,"Ireland",12,"Jury","High","IRL",53.4129,-8.2439
"Belgium",2017,"Cyprus",3,"Jury","Low","CYP",35.1264,33.4299
"Belgium",2017,"Slovenia",5,"Jury","Low","SVN",46.1512,14.9955
"Belgium",2017,"Poland",10,"Jury","High","POL",51.9194,19.1451
"Belgium",2017,"United Kingdom",5,"Jury","Low","GBR",55.3781,-3.436
"Belgium",2017,"Ukraine",1,"Jury","Low","UKR",48.3794,31.1656
"Sweden",2017,"Israel",10,"Jury","High","ISR",31.0461,34.8516
"Sweden",2017,"Montenegro",7,"Jury","Low","MNE",42.7087,19.3744
"Sweden",2017,"Macedonia",1,"Jury","Low","MKD",41.6086,21.7453
"Sweden",2017,"Denmark",12,"Jury","High","DNK",56.2639,9.5018
"Sweden",2017,"Austria",4,"Jury","Low","AUT",47.5162,14.5501
"Sweden",2017,"Norway",6,"Jury","Low","NOR",60.472,8.4689
"Sweden",2017,"Spain",5,"Jury","Low","ESP",40.4637,-3.7492
"Sweden",2017,"Finland",12,"Jury","High","FIN",61.9241,25.7482
"Sweden",2017,"France",8,"Jury","High","FRA",46.6034,2.2137
"Sweden",2017,"Lithuania",6,"Jury","Low","LTU",55.1694,23.8813
"Sweden",2017,"Estonia",3,"Jury","Low","EST",58.5953,25.0136
"Sweden",2017,"Moldova",8,"Jury","High","MDA",47.4116,28.3699
"Sweden",2017,"Armenia",6,"Jury","Low","ARM",40.0691,45.0382
"Sweden",2017,"Iceland",8,"Jury","High","ISL",64.9631,-19.0208
"Sweden",2017,"Serbia",2,"Jury","Low","SRB",44.0165,20.907
"Sweden",2017,"Australia",6,"Jury","Low","AUS",-25.2744,133.7751
"Sweden",2017,"Italy",10,"Jury","High","ITA",41.8719,12.5674
"Sweden",2017,"Germany",4,"Jury","Low","DEU",51.1657,10.4515
"Sweden",2017,"Portugal",7,"Jury","Low","PRT",39.3999,-8.2245
"Sweden",2017,"Switzerland",10,"Jury","High","CHE",46.8182,8.2275
"Sweden",2017,"Netherlands",6,"Jury","Low","NLD",52.1326,5.2913
"Sweden",2017,"Ireland",6,"Jury","Low","IRL",53.4129,-8.2439
"Sweden",2017,"Georgia",8,"Jury","High","GEO",42.3154,43.3569
"Sweden",2017,"Cyprus",6,"Jury","Low","CYP",35.1264,33.4299
"Sweden",2017,"Belarus",8,"Jury","High","BLR",53.9006,27.5766
"Sweden",2017,"Romania",7,"Jury","Low","ROU",45.9432,24.9668
"Sweden",2017,"Hungary",1,"Jury","Low","HUN",47.1625,19.5033
"Sweden",2017,"Slovenia",6,"Jury","Low","SVN",46.1512,14.9955
"Sweden",2017,"Belgium",12,"Jury","High","BEL",50.5039,4.4699
"Sweden",2017,"Poland",4,"Jury","Low","POL",51.9194,19.1451
"Sweden",2017,"United Kingdom",8,"Jury","High","GBR",55.3781,-3.436
"Sweden",2017,"Croatia",4,"Jury","Low","HRV",45.1,15.2
"Sweden",2017,"Czech Republic",7,"Jury","Low","CZE",49.8175,15.473
"Bulgaria",2017,"Sweden",7,"Jury","Low","SWE",60.1282,18.6435
"Bulgaria",2017,"Azerbaijan",2,"Jury","Low","AZE",40.1431,47.5769
"Bulgaria",2017,"San Marino",2,"Jury","Low","SMR",43.9334,12.4578
"Bulgaria",2017,"Latvia",8,"Jury","High","LVA",56.8796,24.6032
"Bulgaria",2017,"Israel",7,"Jury","Low","ISR",31.0461,34.8516
"Bulgaria",2017,"Montenegro",2,"Jury","Low","MNE",42.7087,19.3744
"Bulgaria",2017,"Albania",10,"Jury","High","ALB",41.1533,20.1683
"Bulgaria",2017,"Malta",8,"Jury","High","MLT",35.9375,14.3754
"Bulgaria",2017,"Macedonia",12,"Jury","High","MKD",41.6086,21.7453
"Bulgaria",2017,"Denmark",4,"Jury","Low","DNK",56.2639,9.5018
"Bulgaria",2017,"Austria",10,"Jury","High","AUT",47.5162,14.5501
"Bulgaria",2017,"Norway",12,"Jury","High","NOR",60.472,8.4689
"Bulgaria",2017,"Spain",6,"Jury","Low","ESP",40.4637,-3.7492
"Bulgaria",2017,"Finland",6,"Jury","Low","FIN",61.9241,25.7482
"Bulgaria",2017,"France",5,"Jury","Low","FRA",46.6034,2.2137
"Bulgaria",2017,"Greece",2,"Jury","Low","GRC",39.0742,21.8243
"Bulgaria",2017,"Lithuania",7,"Jury","Low","LTU",55.1694,23.8813
"Bulgaria",2017,"Estonia",12,"Jury","High","EST",58.5953,25.0136
"Bulgaria",2017,"Moldova",10,"Jury","High","MDA",47.4116,28.3699
"Bulgaria",2017,"Iceland",6,"Jury","Low","ISL",64.9631,-19.0208
"Bulgaria",2017,"Serbia",6,"Jury","Low","SRB",44.0165,20.907
"Bulgaria",2017,"Australia",8,"Jury","High","AUS",-25.2744,133.7751
"Bulgaria",2017,"Italy",2,"Jury","Low","ITA",41.8719,12.5674
"Bulgaria",2017,"Germany",8,"Jury","High","DEU",51.1657,10.4515
"Bulgaria",2017,"Switzerland",8,"Jury","High","CHE",46.8182,8.2275
"Bulgaria",2017,"Netherlands",10,"Jury","High","NLD",52.1326,5.2913
"Bulgaria",2017,"Ireland",10,"Jury","High","IRL",53.4129,-8.2439
"Bulgaria",2017,"Georgia",6,"Jury","Low","GEO",42.3154,43.3569
"Bulgaria",2017,"Cyprus",7,"Jury","Low","CYP",35.1264,33.4299
"Bulgaria",2017,"Belarus",12,"Jury","High","BLR",53.9006,27.5766
"Bulgaria",2017,"Romania",10,"Jury","High","ROU",45.9432,24.9668
"Bulgaria",2017,"Hungary",10,"Jury","High","HUN",47.1625,19.5033
"Bulgaria",2017,"Slovenia",8,"Jury","High","SVN",46.1512,14.9955
"Bulgaria",2017,"Belgium",10,"Jury","High","BEL",50.5039,4.4699
"Bulgaria",2017,"Poland",6,"Jury","Low","POL",51.9194,19.1451
"Bulgaria",2017,"United Kingdom",7,"Jury","Low","GBR",55.3781,-3.436
"Bulgaria",2017,"Croatia",10,"Jury","High","HRV",45.1,15.2
"Bulgaria",2017,"Czech Republic",2,"Jury","Low","CZE",49.8175,15.473
"France",2017,"Israel",6,"Jury","Low","ISR",31.0461,34.8516
"France",2017,"Montenegro",3,"Jury","Low","MNE",42.7087,19.3744
"France",2017,"Albania",5,"Jury","Low","ALB",41.1533,20.1683
"France",2017,"Malta",4,"Jury","Low","MLT",35.9375,14.3754
"France",2017,"Macedonia",5,"Jury","Low","MKD",41.6086,21.7453
"France",2017,"Armenia",3,"Jury","Low","ARM",40.0691,45.0382
"France",2017,"Italy",6,"Jury","Low","ITA",41.8719,12.5674
"France",2017,"Portugal",4,"Jury","Low","PRT",39.3999,-8.2245
"France",2017,"Switzerland",1,"Jury","Low","CHE",46.8182,8.2275
"France",2017,"Cyprus",2,"Jury","Low","CYP",35.1264,33.4299
"France",2017,"Belgium",1,"Jury","Low","BEL",50.5039,4.4699
"France",2017,"Ukraine",5,"Jury","Low","UKR",48.3794,31.1656
"Ukraine",2018,"Azerbaijan",6,"Jury","Low","AZE",40.1431,47.5769
"Ukraine",2018,"Moldova",5,"Jury","Low","MDA",47.4116,28.3699
"Spain",2018,"Denmark",6,"Jury","Low","DNK",56.2639,9.5018
"Spain",2018,"United Kingdom",1,"Jury","Low","GBR",55.3781,-3.436
"Spain",2018,"Ireland",1,"Jury","Low","IRL",53.4129,-8.2439
"Spain",2018,"Romania",10,"Jury","High","ROU",45.9432,24.9668
"Spain",2018,"Belgium",1,"Jury","Low","BEL",50.5039,4.4699
"Spain",2018,"Norway",2,"Jury","Low","NOR",60.472,8.4689
"Spain",2018,"Australia",7,"Jury","Low","AUS",-25.2744,133.7751
"Spain",2018,"Cyprus",7,"Jury","Low","CYP",35.1264,33.4299
"Spain",2018,"Germany",6,"Jury","Low","DEU",51.1657,10.4515
"Spain",2018,"Portugal",2,"Jury","Low","PRT",39.3999,-8.2245
"Slovenia",2018,"Ukraine",5,"Jury","Low","UKR",48.3794,31.1656
"Slovenia",2018,"Belarus",4,"Jury","Low","BLR",53.9006,27.5766
"Slovenia",2018,"San Marino",6,"Jury","Low","SMR",43.9334,12.4578
"Slovenia",2018,"Netherlands",1,"Jury","Low","NLD",52.1326,5.2913
"Slovenia",2018,"Macedonia",2,"Jury","Low","MKD",41.6086,21.7453
"Slovenia",2018,"Austria",5,"Jury","Low","AUT",47.5162,14.5501
"Slovenia",2018,"Latvia",1,"Jury","Low","LVA",56.8796,24.6032
"Slovenia",2018,"Romania",1,"Jury","Low","ROU",45.9432,24.9668
"Slovenia",2018,"Czech Republic",7,"Jury","Low","CZE",49.8175,15.473
"Slovenia",2018,"France",2,"Jury","Low","FRA",46.6034,2.2137
"Slovenia",2018,"Israel",4,"Jury","Low","ISR",31.0461,34.8516
"Slovenia",2018,"Portugal",3,"Jury","Low","PRT",39.3999,-8.2245
"Lithuania",2018,"Belarus",5,"Jury","Low","BLR",53.9006,27.5766
"Lithuania",2018,"Netherlands",7,"Jury","Low","NLD",52.1326,5.2913
"Lithuania",2018,"Georgia",2,"Jury","Low","GEO",42.3154,43.3569
"Lithuania",2018,"Latvia",4,"Jury","Low","LVA",56.8796,24.6032
"Lithuania",2018,"Croatia",12,"Jury","High","HRV",45.1,15.2
"Lithuania",2018,"Romania",6,"Jury","Low","ROU",45.9432,24.9668
"Lithuania",2018,"Czech Republic",1,"Jury","Low","CZE",49.8175,15.473
"Lithuania",2018,"Norway",3,"Jury","Low","NOR",60.472,8.4689
"Lithuania",2018,"Australia",3,"Jury","Low","AUS",-25.2744,133.7751
"Lithuania",2018,"Estonia",10,"Jury","High","EST",58.5953,25.0136
"Lithuania",2018,"Bulgaria",10,"Jury","High","BGR",42.7339,25.4858
"Lithuania",2018,"Hungary",5,"Jury","Low","HUN",47.1625,19.5033
"Lithuania",2018,"Germany",4,"Jury","Low","DEU",51.1657,10.4515
"Lithuania",2018,"Russia",3,"Jury","Low","RUS",61.524,105.3188
"Lithuania",2018,"Switzerland",8,"Jury","High","CHE",46.8182,8.2275
"Lithuania",2018,"Poland",1,"Jury","Low","POL",51.9194,19.1451
"Lithuania",2018,"Portugal",6,"Jury","Low","PRT",39.3999,-8.2245
"Austria",2018,"Ukraine",7,"Jury","Low","UKR",48.3794,31.1656
"Austria",2018,"Belarus",10,"Jury","High","BLR",53.9006,27.5766
"Austria",2018,"Netherlands",10,"Jury","High","NLD",52.1326,5.2913
"Austria",2018,"Malta",1,"Jury","Low","MLT",35.9375,14.3754
"Austria",2018,"Georgia",8,"Jury","High","GEO",42.3154,43.3569
"Austria",2018,"Spain",8,"Jury","High","ESP",40.4637,-3.7492
"Austria",2018,"Denmark",8,"Jury","High","DNK",56.2639,9.5018
"Austria",2018,"United Kingdom",12,"Jury","High","GBR",55.3781,-3.436
"Austria",2018,"Sweden",10,"Jury","High","SWE",60.1282,18.6435
"Austria",2018,"Latvia",7,"Jury","Low","LVA",56.8796,24.6032
"Austria",2018,"Ireland",5,"Jury","Low","IRL",53.4129,-8.2439
"Austria",2018,"Romania",12,"Jury","High","ROU",45.9432,24.9668
"Austria",2018,"Czech Republic",5,"Jury","Low","CZE",49.8175,15.473
"Austria",2018,"Iceland",12,"Jury","High","ISL",64.9631,-19.0208
"Austria",2018,"Moldova",3,"Jury","Low","MDA",47.4116,28.3699
"Austria",2018,"Belgium",12,"Jury","High","BEL",50.5039,4.4699
"Austria",2018,"Norway",8,"Jury","High","NOR",60.472,8.4689
"Austria",2018,"France",7,"Jury","Low","FRA",46.6034,2.2137
"Austria",2018,"Italy",7,"Jury","Low","ITA",41.8719,12.5674
"Austria",2018,"Australia",5,"Jury","Low","AUS",-25.2744,133.7751
"Austria",2018,"Estonia",12,"Jury","High","EST",58.5953,25.0136
"Austria",2018,"Serbia",4,"Jury","Low","SRB",44.0165,20.907
"Austria",2018,"Cyprus",2,"Jury","Low","CYP",35.1264,33.4299
"Austria",2018,"Armenia",1,"Jury","Low","ARM",40.0691,45.0382
"Austria",2018,"Bulgaria",12,"Jury","High","BGR",42.7339,25.4858
"Austria",2018,"Hungary",8,"Jury","High","HUN",47.1625,19.5033
"Austria",2018,"Germany",10,"Jury","High","DEU",51.1657,10.4515
"Austria",2018,"Finland",7,"Jury","Low","FIN",61.9241,25.7482
"Austria",2018,"Switzerland",4,"Jury","Low","CHE",46.8182,8.2275
"Austria",2018,"Israel",12,"Jury","High","ISR",31.0461,34.8516
"Austria",2018,"Poland",12,"Jury","High","POL",51.9194,19.1451
"Austria",2018,"Lithuania",12,"Jury","High","LTU",55.1694,23.8813
"Austria",2018,"Slovenia",10,"Jury","High","SVN",46.1512,14.9955
"Austria",2018,"Portugal",8,"Jury","High","PRT",39.3999,-8.2245
"Estonia",2018,"Ukraine",1,"Jury","Low","UKR",48.3794,31.1656
"Estonia",2018,"Azerbaijan",3,"Jury","Low","AZE",40.1431,47.5769
"Estonia",2018,"San Marino",5,"Jury","Low","SMR",43.9334,12.4578
"Estonia",2018,"Netherlands",4,"Jury","Low","NLD",52.1326,5.2913
"Estonia",2018,"Macedonia",12,"Jury","High","MKD",41.6086,21.7453
"Estonia",2018,"Georgia",10,"Jury","High","GEO",42.3154,43.3569
"Estonia",2018,"Spain",1,"Jury","Low","ESP",40.4637,-3.7492
"Estonia",2018,"Austria",2,"Jury","Low","AUT",47.5162,14.5501
"Estonia",2018,"Denmark",7,"Jury","Low","DNK",56.2639,9.5018
"Estonia",2018,"United Kingdom",6,"Jury","Low","GBR",55.3781,-3.436
"Estonia",2018,"Latvia",8,"Jury","High","LVA",56.8796,24.6032
"Estonia",2018,"Ireland",3,"Jury","Low","IRL",53.4129,-8.2439
"Estonia",2018,"Romania",3,"Jury","Low","ROU",45.9432,24.9668
"Estonia",2018,"Iceland",7,"Jury","Low","ISL",64.9631,-19.0208
"Estonia",2018,"Moldova",12,"Jury","High","MDA",47.4116,28.3699
"Estonia",2018,"Italy",4,"Jury","Low","ITA",41.8719,12.5674
"Estonia",2018,"Australia",8,"Jury","High","AUS",-25.2744,133.7751
"Estonia",2018,"Serbia",3,"Jury","Low","SRB",44.0165,20.907
"Estonia",2018,"Cyprus",1,"Jury","Low","CYP",35.1264,33.4299
"Estonia",2018,"Greece",3,"Jury","Low","GRC",39.0742,21.8243
"Estonia",2018,"Montenegro",5,"Jury","Low","MNE",42.7087,19.3744
"Estonia",2018,"Germany",2,"Jury","Low","DEU",51.1657,10.4515
"Estonia",2018,"Russia",6,"Jury","Low","RUS",61.524,105.3188
"Estonia",2018,"Switzerland",10,"Jury","High","CHE",46.8182,8.2275
"Estonia",2018,"Slovenia",5,"Jury","Low","SVN",46.1512,14.9955
"Estonia",2018,"Portugal",12,"Jury","High","PRT",39.3999,-8.2245
"Norway",2018,"Belarus",8,"Jury","High","BLR",53.9006,27.5766
"Norway",2018,"Netherlands",3,"Jury","Low","NLD",52.1326,5.2913
"Norway",2018,"Malta",4,"Jury","Low","MLT",35.9375,14.3754
"Norway",2018,"United Kingdom",5,"Jury","Low","GBR",55.3781,-3.436
"Norway",2018,"Sweden",2,"Jury","Low","SWE",60.1282,18.6435
"Norway",2018,"Croatia",5,"Jury","Low","HRV",45.1,15.2
"Norway",2018,"Moldova",2,"Jury","Low","MDA",47.4116,28.3699
"Norway",2018,"Italy",12,"Jury","High","ITA",41.8719,12.5674
"Norway",2018,"Estonia",4,"Jury","Low","EST",58.5953,25.0136
"Norway",2018,"Serbia",6,"Jury","Low","SRB",44.0165,20.907
"Norway",2018,"Hungary",2,"Jury","Low","HUN",47.1625,19.5033
"Norway",2018,"Montenegro",7,"Jury","Low","MNE",42.7087,19.3744
"Portugal",2018,"Netherlands",2,"Jury","Low","NLD",52.1326,5.2913
"Portugal",2018,"Ireland",6,"Jury","Low","IRL",53.4129,-8.2439
"Portugal",2018,"Estonia",3,"Jury","Low","EST",58.5953,25.0136
"Portugal",2018,"Switzerland",3,"Jury","Low","CHE",46.8182,8.2275
"Portugal",2018,"Lithuania",7,"Jury","Low","LTU",55.1694,23.8813
"United Kingdom",2018,"Latvia",2,"Jury","Low","LVA",56.8796,24.6032
"United Kingdom",2018,"Croatia",2,"Jury","Low","HRV",45.1,15.2
"United Kingdom",2018,"France",3,"Jury","Low","FRA",46.6034,2.2137
"United Kingdom",2018,"Italy",6,"Jury","Low","ITA",41.8719,12.5674
"United Kingdom",2018,"Montenegro",2,"Jury","Low","MNE",42.7087,19.3744
"United Kingdom",2018,"Israel",8,"Jury","High","ISR",31.0461,34.8516
"Serbia",2018,"Azerbaijan",10,"Jury","High","AZE",40.1431,47.5769
"Serbia",2018,"San Marino",3,"Jury","Low","SMR",43.9334,12.4578
"Serbia",2018,"Macedonia",8,"Jury","High","MKD",41.6086,21.7453
"Serbia",2018,"Albania",3,"Jury","Low","ALB",41.1533,20.1683
"Serbia",2018,"Greece",2,"Jury","Low","GRC",39.0742,21.8243
"Serbia",2018,"Montenegro",12,"Jury","High","MNE",42.7087,19.3744
"Germany",2018,"Azerbaijan",2,"Jury","Low","AZE",40.1431,47.5769
"Germany",2018,"San Marino",10,"Jury","High","SMR",43.9334,12.4578
"Germany",2018,"Netherlands",12,"Jury","High","NLD",52.1326,5.2913
"Germany",2018,"Macedonia",3,"Jury","Low","MKD",41.6086,21.7453
"Germany",2018,"Georgia",7,"Jury","Low","GEO",42.3154,43.3569
"Germany",2018,"Spain",7,"Jury","Low","ESP",40.4637,-3.7492
"Germany",2018,"Austria",10,"Jury","High","AUT",47.5162,14.5501
"Germany",2018,"Denmark",12,"Jury","High","DNK",56.2639,9.5018
"Germany",2018,"Sweden",1,"Jury","Low","SWE",60.1282,18.6435
"Germany",2018,"Latvia",3,"Jury","Low","LVA",56.8796,24.6032
"Germany",2018,"Albania",6,"Jury","Low","ALB",41.1533,20.1683
"Germany",2018,"Ireland",8,"Jury","High","IRL",53.4129,-8.2439
"Germany",2018,"Romania",4,"Jury","Low","ROU",45.9432,24.9668
"Germany",2018,"Iceland",6,"Jury","Low","ISL",64.9631,-19.0208
"Germany",2018,"Moldova",4,"Jury","Low","MDA",47.4116,28.3699
"Germany",2018,"Belgium",5,"Jury","Low","BEL",50.5039,4.4699
"Germany",2018,"Norway",12,"Jury","High","NOR",60.472,8.4689
"Germany",2018,"France",8,"Jury","High","FRA",46.6034,2.2137
"Germany",2018,"Italy",10,"Jury","High","ITA",41.8719,12.5674
"Germany",2018,"Australia",10,"Jury","High","AUS",-25.2744,133.7751
"Germany",2018,"Estonia",6,"Jury","Low","EST",58.5953,25.0136
"Germany",2018,"Serbia",10,"Jury","High","SRB",44.0165,20.907
"Germany",2018,"Armenia",5,"Jury","Low","ARM",40.0691,45.0382
"Germany",2018,"Bulgaria",6,"Jury","Low","BGR",42.7339,25.4858
"Germany",2018,"Finland",1,"Jury","Low","FIN",61.9241,25.7482
"Germany",2018,"Russia",4,"Jury","Low","RUS",61.524,105.3188
"Germany",2018,"Switzerland",12,"Jury","High","CHE",46.8182,8.2275
"Germany",2018,"Israel",5,"Jury","Low","ISR",31.0461,34.8516
"Germany",2018,"Poland",10,"Jury","High","POL",51.9194,19.1451
"Germany",2018,"Lithuania",5,"Jury","Low","LTU",55.1694,23.8813
"Albania",2018,"Azerbaijan",12,"Jury","High","AZE",40.1431,47.5769
"Albania",2018,"Belarus",7,"Jury","Low","BLR",53.9006,27.5766
"Albania",2018,"Macedonia",6,"Jury","Low","MKD",41.6086,21.7453
"Albania",2018,"Georgia",4,"Jury","Low","GEO",42.3154,43.3569
"Albania",2018,"Austria",7,"Jury","Low","AUT",47.5162,14.5501
"Albania",2018,"United Kingdom",7,"Jury","Low","GBR",55.3781,-3.436
"Albania",2018,"Croatia",1,"Jury","Low","HRV",45.1,15.2
"Albania",2018,"Ireland",2,"Jury","Low","IRL",53.4129,-8.2439
"Albania",2018,"Czech Republic",6,"Jury","Low","CZE",49.8175,15.473
"Albania",2018,"Iceland",10,"Jury","High","ISL",64.9631,-19.0208
"Albania",2018,"Belgium",2,"Jury","Low","BEL",50.5039,4.4699
"Albania",2018,"Serbia",1,"Jury","Low","SRB",44.0165,20.907
"Albania",2018,"Cyprus",6,"Jury","Low","CYP",35.1264,33.4299
"Albania",2018,"Bulgaria",7,"Jury","Low","BGR",42.7339,25.4858
"Albania",2018,"Greece",7,"Jury","Low","GRC",39.0742,21.8243
"Albania",2018,"Hungary",10,"Jury","High","HUN",47.1625,19.5033
"Albania",2018,"Montenegro",10,"Jury","High","MNE",42.7087,19.3744
"Albania",2018,"Poland",7,"Jury","Low","POL",51.9194,19.1451
"Albania",2018,"Slovenia",4,"Jury","Low","SVN",46.1512,14.9955
"Albania",2018,"Portugal",10,"Jury","High","PRT",39.3999,-8.2245
"France",2018,"Ukraine",12,"Jury","High","UKR",48.3794,31.1656
"France",2018,"Malta",8,"Jury","High","MLT",35.9375,14.3754
"France",2018,"Spain",6,"Jury","Low","ESP",40.4637,-3.7492
"France",2018,"Denmark",2,"Jury","Low","DNK",56.2639,9.5018
"France",2018,"Sweden",5,"Jury","Low","SWE",60.1282,18.6435
"France",2018,"Latvia",10,"Jury","High","LVA",56.8796,24.6032
"France",2018,"Albania",7,"Jury","Low","ALB",41.1533,20.1683
"France",2018,"Croatia",6,"Jury","Low","HRV",45.1,15.2
"France",2018,"Ireland",4,"Jury","Low","IRL",53.4129,-8.2439
"France",2018,"Iceland",3,"Jury","Low","ISL",64.9631,-19.0208
"France",2018,"Belgium",3,"Jury","Low","BEL",50.5039,4.4699
"France",2018,"Norway",7,"Jury","Low","NOR",60.472,8.4689
"France",2018,"Cyprus",3,"Jury","Low","CYP",35.1264,33.4299
"France",2018,"Armenia",4,"Jury","Low","ARM",40.0691,45.0382
"France",2018,"Bulgaria",5,"Jury","Low","BGR",42.7339,25.4858
"France",2018,"Greece",5,"Jury","Low","GRC",39.0742,21.8243
"France",2018,"Finland",5,"Jury","Low","FIN",61.9241,25.7482
"France",2018,"Russia",2,"Jury","Low","RUS",61.524,105.3188
"France",2018,"Lithuania",10,"Jury","High","LTU",55.1694,23.8813
"France",2018,"Slovenia",2,"Jury","Low","SVN",46.1512,14.9955
"France",2018,"Portugal",5,"Jury","Low","PRT",39.3999,-8.2245
"Czech Republic",2018,"Ukraine",4,"Jury","Low","UKR",48.3794,31.1656
"Czech Republic",2018,"Belarus",6,"Jury","Low","BLR",53.9006,27.5766
"Czech Republic",2018,"Macedonia",4,"Jury","Low","MKD",41.6086,21.7453
"Czech Republic",2018,"Malta",5,"Jury","Low","MLT",35.9375,14.3754
"Czech Republic",2018,"Spain",4,"Jury","Low","ESP",40.4637,-3.7492
"Czech Republic",2018,"Austria",3,"Jury","Low","AUT",47.5162,14.5501
"Czech Republic",2018,"Albania",1,"Jury","Low","ALB",41.1533,20.1683
"Czech Republic",2018,"Croatia",4,"Jury","Low","HRV",45.1,15.2
"Czech Republic",2018,"Iceland",1,"Jury","Low","ISL",64.9631,-19.0208
"Czech Republic",2018,"Belgium",7,"Jury","Low","BEL",50.5039,4.4699
"Czech Republic",2018,"France",4,"Jury","Low","FRA",46.6034,2.2137
"Czech Republic",2018,"Australia",1,"Jury","Low","AUS",-25.2744,133.7751
"Czech Republic",2018,"Cyprus",5,"Jury","Low","CYP",35.1264,33.4299
"Czech Republic",2018,"Armenia",6,"Jury","Low","ARM",40.0691,45.0382
"Czech Republic",2018,"Bulgaria",8,"Jury","High","BGR",42.7339,25.4858
"Czech Republic",2018,"Slovenia",3,"Jury","Low","SVN",46.1512,14.9955
"Denmark",2018,"Ukraine",3,"Jury","Low","UKR",48.3794,31.1656
"Denmark",2018,"Belarus",3,"Jury","Low","BLR",53.9006,27.5766
"Denmark",2018,"Georgia",1,"Jury","Low","GEO",42.3154,43.3569
"Denmark",2018,"Italy",8,"Jury","High","ITA",41.8719,12.5674
"Denmark",2018,"Hungary",12,"Jury","High","HUN",47.1625,19.5033
"Denmark",2018,"Montenegro",6,"Jury","Low","MNE",42.7087,19.3744
"Denmark",2018,"Finland",3,"Jury","Low","FIN",61.9241,25.7482
"Denmark",2018,"Israel",2,"Jury","Low","ISR",31.0461,34.8516
"Australia",2018,"Ukraine",2,"Jury","Low","UKR",48.3794,31.1656
"Australia",2018,"Belarus",2,"Jury","Low","BLR",53.9006,27.5766
"Australia",2018,"San Marino",2,"Jury","Low","SMR",43.9334,12.4578
"Australia",2018,"Malta",3,"Jury","Low","MLT",35.9375,14.3754
"Australia",2018,"Denmark",10,"Jury","High","DNK",56.2639,9.5018
"Australia",2018,"Sweden",8,"Jury","High","SWE",60.1282,18.6435
"Australia",2018,"Latvia",6,"Jury","Low","LVA",56.8796,24.6032
"Australia",2018,"Romania",2,"Jury","Low","ROU",45.9432,24.9668
"Australia",2018,"Moldova",7,"Jury","Low","MDA",47.4116,28.3699
"Australia",2018,"Norway",6,"Jury","Low","NOR",60.472,8.4689
